1695722707610370000,-2.29807,0.35096,
1695722707713116000,-2.31676,0.37499,
1695722707816102000,-2.33340,0.39910,
1695722707919067000,-2.35382,0.41990,
1695722708021992000,-2.37492,0.44487,
1695722708124638000,-2.39100,0.46135,
1695722708227655000,-2.40665,0.48931,
1695722708331360000,-2.42057,0.52261,
1695722708434370000,-2.43232,0.55788,
1695722708537111000,-2.44531,0.59185,
1695722708640094000,-2.45658,0.61320,
1695722708742651000,-2.46928,0.63821,
1695722708845088000,-2.48359,0.66798,
1695722708948227000,-2.49582,0.69717,
1695722709051117000,-2.50846,0.73800,
1695722709154433000,-2.51978,0.78405,
1695722709257389000,-2.52829,0.82563,
1695722709360367000,-2.53410,0.86870,
1695722709463370000,-2.53645,0.90821,
1695722709566119000,-2.54018,0.94910,
1695722709669102000,-2.54627,0.98261,
1695722709771374000,-2.55018,1.01956,
1695722709873844000,-2.55318,1.05109,
1695722709976848000,-2.55807,1.08562,
1695722710079949000,-2.56372,1.13454,
1695722710183140000,-2.56455,1.17896,
1695722710285887000,-2.56586,1.22189,
1695722710388562000,-2.57390,1.24607,
1695722710491651000,-2.57798,1.29072,
1695722710594293000,-2.58385,1.32810,
1695722710697317000,-2.58960,1.36260,
1695722710800321000,-2.59500,1.40466,
1695722710903275000,-2.60301,1.45461,
1695722711006253000,-2.60879,1.50350,
1695722711109228000,-2.61712,1.54044,
1695722711212271000,-2.62904,1.59203,
1695722711315396000,-2.63607,1.64658,
1695722711418066000,-2.64433,1.69662,
1695722711520975000,-2.65279,1.74084,
1695722711623758000,-2.66486,1.79313,
1695722711726687000,-2.65833,1.82991,
1695722711829748000,-2.66882,1.87095,
1695722711932714000,-2.68044,1.92571,
1695722712035484000,-2.68763,1.95778,
1695722712138225000,-2.69146,1.99849,
1695722712241244000,-2.70046,2.04493,
1695722712344045000,-2.70579,2.07645,
1695722712446905000,-2.71406,2.11116,
1695722712551062000,-2.72065,2.14275,
1695722712652977000,-2.73118,2.17764,
1695722712755688000,-2.73522,2.20150,
1695722712858998000,-2.73611,2.23988,
1695722712962006000,-2.73188,2.26762,
1695722713064979000,-2.73181,2.31004,
1695722713167704000,-2.73425,2.34648,
1695722713270450000,-2.73416,2.38356,
1695722713373191000,-2.73669,2.42117,
1695722713475947000,-2.74204,2.45323,
1695722713578902000,-2.74065,2.49640,
1695722713681956000,-2.74738,2.53898,
1695722713784957000,-2.73996,2.56216,
1695722713887700000,-2.74076,2.59474,
1695722713990602000,-2.73672,2.62156,
1695722714093435000,-2.73269,2.64710,
1695722714196185000,-2.72928,2.66932,
1695722714299143000,-2.72296,2.68998,
1695722714401976000,-2.72018,2.71609,
1695722714504932000,-2.71641,2.74626,
1695722714607967000,-2.71313,2.76543,
1695722714711037000,-2.71254,2.78959,
1695722714813849000,-2.71106,2.81514,
1695722714916922000,-2.70391,2.83970,
1695722715019918000,-2.69817,2.86115,
1695722715123041000,-2.69894,2.88900,
1695722715226141000,-2.68762,2.91574,
1695722715328927000,-2.68370,2.92994,
1695722715431982000,-2.68816,2.95378,
1695722715534602000,-2.68764,2.97666,
1695722715637337000,-2.68169,2.98133,
1695722715740102000,-2.68163,2.98741,
1695722715843121000,-2.67892,2.99102,
1695722715945938000,-2.68213,3.00790,
1695722716049223000,-2.67745,3.00950,
1695722716152085000,-2.67099,3.01572,
1695722716255110000,-2.66734,3.02654,
1695722716357940000,-2.66935,3.03693,
1695722716460919000,-2.66418,3.04312,
1695722716564187000,-2.65480,3.05626,
1695722716667306000,-2.64785,3.07023,
1695722716770334000,-2.63799,3.07842,
1695722716873307000,-2.62904,3.09516,
1695722716976309000,-2.62082,3.11172,
1695722717079227000,-2.60482,3.12908,
1695722717182381000,-2.59548,3.15071,
1695722717285355000,-2.58232,3.15839,
1695722717388292000,-2.56472,3.17994,
1695722717491477000,-2.55297,3.19605,
1695722717594005000,-2.53676,3.21200,
1695722717697037000,-2.51772,3.21226,
1695722717799732000,-2.50658,3.22631,
1695722717902761000,-2.48696,3.23464,
1695722718005761000,-2.46870,3.23997,
1695722718108967000,-2.44577,3.24858,
1695722718212206000,-2.42831,3.25437,
1695722718315174000,-2.40342,3.26329,
1695722718418145000,-2.38921,3.26520,
1695722718520956000,-2.36498,3.26420,
1695722718624078000,-2.34905,3.26336,
1695722718727212000,-2.33712,3.25801,
1695722718830287000,-2.31446,3.25515,
1695722718933225000,-2.28817,3.24268,
1695722719036237000,-2.26772,3.23494,
1695722719138939000,-2.22648,3.22789,
1695722719241196000,-2.19429,3.23378,
1695722719343789000,-2.15830,3.23899,
1695722719446191000,-2.11789,3.25786,
1695722719548828000,-2.09623,3.27589,
1695722719650397000,-2.07891,3.29293,
1695722719753498000,-2.05706,3.30308,
1695722719856229000,-2.03303,3.30889,
1695722719959478000,-2.00840,3.32440,
1695722720062645000,-1.96586,3.34305,
1695722720165922000,-1.92871,3.35729,
1695722720268970000,-1.89552,3.37205,
1695722720371944000,-1.86536,3.38569,
1695722720474936000,-1.82552,3.39613,
1695722720577608000,-1.81049,3.40967,
1695722720680627000,-1.78576,3.41942,
1695722720783340000,-1.76877,3.43472,
1695722720887084000,-1.73939,3.44584,
1695722720989330000,-1.71197,3.45607,
1695722721092368000,-1.68286,3.47008,
1695722721195325000,-1.65965,3.48220,
1695722721298373000,-1.63217,3.49306,
1695722721401325000,-1.60722,3.50443,
1695722721504067000,-1.58106,3.51431,
1695722721607188000,-1.55807,3.52510,
1695722721710124000,-1.54296,3.53740,
1695722721812924000,-1.52921,3.54099,
1695722721916080000,-1.51382,3.54554,
1695722722019323000,-1.48505,3.54926,
1695722722122851000,-1.45959,3.54445,
1695722722226159000,-1.43476,3.54105,
1695722722329309000,-1.41329,3.53334,
1695722722432632000,-1.39521,3.52594,
1695722722535095000,-1.36176,3.52401,
1695722722637538000,-1.33535,3.52452,
1695722722740138000,-1.30678,3.52045,
1695722722842697000,-1.28255,3.51920,
1695722722945337000,-1.25547,3.51719,
1695722723048053000,-1.23454,3.51766,
1695722723150811000,-1.20434,3.51835,
1695722723253559000,-1.18209,3.52065,
1695722723356596000,-1.15064,3.51633,
1695722723459352000,-1.12608,3.51814,
1695722723562387000,-1.10048,3.51800,
1695722723665053000,-1.06665,3.51705,
1695722723768005000,-1.04247,3.51088,
1695722723871051000,-1.02405,3.50136,
1695722723974207000,-0.99833,3.49402,
1695722724077240000,-0.98180,3.48768,
1695722724180225000,-0.95763,3.47641,
1695722724283216000,-0.93670,3.46368,
1695722724386226000,-0.91065,3.44704,
1695722724490226000,-0.87257,3.43577,
1695722724591687000,-0.84048,3.42094,
1695722724694473000,-0.80686,3.40335,
1695722724797176000,-0.75869,3.38538,
1695722724900202000,-0.73329,3.36826,
1695722725003463000,-0.70270,3.34370,
1695722725106473000,-0.66277,3.32188,
1695722725209668000,-0.62086,3.30143,
